,Predictive Scale,Learner,Explainer,All features ACC,Pred features ACC,Prog features ACC,PEHE,CATE true mean,CATE true var,Normalized PEHE
0,0.001,DRLearner,feature_ablation,0.5485714285714286,0.4633035714285714,0.09571428571428571,0.022025792426853524,0.001305406484074046,9.067211847358209e-08,73.14668701613661
1,0.001,DRLearner,feature_permutation,0.677202380952381,0.37357142857142855,0.39285714285714285,0.022025792426853524,0.001305406484074046,9.067211847358209e-08,73.14668701613661
2,0.001,DRLearner,integrated_gradients,0.5378571428571428,0.41285714285714287,0.43142857142857144,0.022025792426853524,0.001305406484074046,9.067211847358209e-08,73.14668701613661
3,0.001,DRLearner,shapley_value_sampling,0.5394047619047619,0.3655357142857143,0.1357142857142857,0.022025792426853524,0.001305406484074046,9.067211847358209e-08,73.14668701613661
4,0.01,DRLearner,feature_ablation,0.5468452380952381,0.46598214285714284,0.12857142857142856,0.022968745899520755,0.013054064840740462,9.06721184735821e-06,7.627819398756692
5,0.01,DRLearner,feature_permutation,0.6770833333333334,0.37294642857142857,0.38285714285714284,0.022968745899520755,0.013054064840740462,9.06721184735821e-06,7.627819398756692
6,0.01,DRLearner,integrated_gradients,0.5431547619047619,0.40919642857142857,0.48,0.022968745899520755,0.013054064840740462,9.06721184735821e-06,7.627819398756692
7,0.01,DRLearner,shapley_value_sampling,0.5384523809523809,0.3650892857142857,0.36428571428571427,0.022968745899520755,0.013054064840740462,9.06721184735821e-06,7.627819398756692
8,0.1,DRLearner,feature_ablation,0.5494642857142857,0.49142857142857144,0.04,0.02505866404618434,0.13054064840740465,0.0009067211847358211,0.8321872014893071
9,0.1,DRLearner,feature_permutation,0.6769047619047619,0.3726785714285714,0.19714285714285715,0.02505866404618434,0.13054064840740465,0.0009067211847358211,0.8321872014893071
10,0.1,DRLearner,integrated_gradients,0.5549404761904762,0.5195535714285714,0.022857142857142857,0.02505866404618434,0.13054064840740465,0.0009067211847358211,0.8321872014893071
11,0.1,DRLearner,shapley_value_sampling,0.5479761904761905,0.5436607142857143,0.007142857142857143,0.02505866404618434,0.13054064840740465,0.0009067211847358211,0.8321872014893071
12,0.5,DRLearner,feature_ablation,0.5666071428571429,0.6240178571428572,0.0,0.03019284002756866,0.6527032420370231,0.022668029618395525,0.20053818512629468
13,0.5,DRLearner,feature_permutation,0.6771428571428572,0.373125,0.13285714285714287,0.03019284002756866,0.6527032420370231,0.022668029618395525,0.20053818512629468
14,0.5,DRLearner,integrated_gradients,0.5683928571428571,0.62625,0.0,0.03019284002756866,0.6527032420370231,0.022668029618395525,0.20053818512629468
15,0.5,DRLearner,shapley_value_sampling,0.5698809523809524,0.6333035714285714,0.0,0.03019284002756866,0.6527032420370231,0.022668029618395525,0.20053818512629468
16,1.0,DRLearner,feature_ablation,0.5639285714285714,0.6316071428571428,0.0,0.03817572967587611,1.3054064840740462,0.0906721184735821,0.12677991765733068
17,1.0,DRLearner,feature_permutation,0.6771428571428572,0.3734821428571429,0.19142857142857142,0.03817572967587611,1.3054064840740462,0.0906721184735821,0.12677991765733068
18,1.0,DRLearner,integrated_gradients,0.5706547619047619,0.6236607142857142,0.0,0.03817572967587611,1.3054064840740462,0.0906721184735821,0.12677991765733068
19,1.0,DRLearner,shapley_value_sampling,0.5694047619047619,0.6340178571428572,0.0,0.03817572967587611,1.3054064840740462,0.0906721184735821,0.12677991765733068
20,2.0,DRLearner,feature_ablation,0.5639285714285714,0.6353571428571428,0.0,0.049157729316345995,2.6108129681480925,0.3626884738943284,0.08162532750337889
21,2.0,DRLearner,feature_permutation,0.677202380952381,0.37294642857142857,0.2671428571428571,0.049157729316345995,2.6108129681480925,0.3626884738943284,0.08162532750337889
22,2.0,DRLearner,integrated_gradients,0.5646428571428571,0.63125,0.0,0.049157729316345995,2.6108129681480925,0.3626884738943284,0.08162532750337889
23,2.0,DRLearner,shapley_value_sampling,0.5406547619047619,0.6320535714285714,0.0,0.049157729316345995,2.6108129681480925,0.3626884738943284,0.08162532750337889
